product_id	product_name	stok	harga_beli	pabrik
23122501	 Hemaviton Colagen Orange 150 ml	1	5877.00	Grosir/Toko Lain-lain
290520040118	altamed latex sarung tangan size S 100s	1	0.00	Grosir/Toko Lain-lain
1112503	Ambroxol syr bernofarm	1	0.00	Grosir/Toko Lain-lain
100063	amoxsan 250mg tablet	2	0.00	Grosir/Toko Lain-lain
400987600	andalan nutrifemme folamom	4	0.00	Grosir/Toko Lain-lain
19112502	Asepso Bio Sulphur	1	0.00	Grosir/Toko Lain-lain
100073	Balpirik Extra Kuat Merah 20 g	3	0.00	Grosir/Toko Lain-lain
678910	Bath Towel Handuk Disposable 70x140 Biru	8	0.00	Grosir/Toko Lain-lain
4521633745	Cap Ayam Minyak Kayu Putih 150 ml	1	0.00	Grosir/Toko Lain-lain
29092502	Cefspan Dry Syr 30 ml	1	0.00	Grosir/Toko Lain-lain
1000141	Celana sunat L	3	0.00	Grosir/Toko Lain-lain
1000139	Celana Sunat M	2	0.00	Grosir/Toko Lain-lain
1000143	Celana sunat SX	1	0.00	Grosir/Toko Lain-lain
540011334	Cendo Timol 0.25% MD	1	0.00	Grosir/Toko Lain-lain
79835467367	Ceradan Hydra Hypens 150gr	1	0.00	Grosir/Toko Lain-lain
369401212	Cessa Baby Happy Nose	2	0.00	Grosir/Toko Lain-lain
865440779653245680	Cussons Baby Cream Fresh & Nourish 50 g	2	0.00	Grosir/Toko Lain-lain
432322570888766	Cussons Baby Cream Soft & Smooth 50 g	1	0.00	Grosir/Toko Lain-lain
8728828779998643	Depo Harmonis 3 Bulan 1ml	2	0.00	Grosir/Toko Lain-lain
201202602	Dermafix T 10x12	3	0.00	Grosir/Toko Lain-lain
201202601	Dermafix T 10x25	5	0.00	Grosir/Toko Lain-lain
201202603	Dermafix T 10x8	21	0.00	Grosir/Toko Lain-lain
8971617716700	Dermatix Ultra Gel 9 g	1	0.00	Grosir/Toko Lain-lain
33333364455211207	Durex Close Fit Isi 3	1	0.00	Grosir/Toko Lain-lain
3333611217100	Durex Fetherlite Isi 12	1	0.00	Grosir/Toko Lain-lain
80002	Durex Invisible isi 2	2	0.00	Grosir/Toko Lain-lain
333333620002211	Durex Love Isi 3	2	0.00	Grosir/Toko Lain-lain
333331244119966620	Durex Naughty Chocolate Isi 3	1	0.00	Grosir/Toko Lain-lain
3333321114779920	Durex Performa Isi 3	1	0.00	Grosir/Toko Lain-lain
33333544511122583	Durex Pleasuremax Isi 3	1	0.00	Grosir/Toko Lain-lain
1000522	Fiesta Black Coffee kondom 3s	1	0.00	Grosir/Toko Lain-lain
1000521	Fiesta Max dotted Kondom 3s	3	0.00	Grosir/Toko Lain-lain
1003121541210	glibenclamide 5mg 	7	0.00	Grosir/Toko Lain-lain
0	Halowell C isi 30	7	0.00	Grosir/Toko Lain-lain
665412031394512	Hansaplast Aqua Protect Isi 6	2	0.00	Grosir/Toko Lain-lain
54544534343212314	Hotin cream aromatheraphy 120 gr tube	1	0.00	Grosir/Toko Lain-lain
8513246793	Imboost Force Cough Syr 60ml	1	0.00	PT. PARIT PADANG GLOBAL
1112504	Imboost Force FCT 10s	5	0.00	Grosir/Toko Lain-lain
9278102019712	Imunkid Drops	3	0.00	Grosir/Toko Lain-lain
1000214531100154	ipi vitamin c 80 tablet	3	0.00	Grosir/Toko Lain-lain
145420011	isopore onemed 5cmx9m	1	0.00	Grosir/Toko Lain-lain
1000108	kenacort 4mg tablet 100s	8	0.00	Grosir/Toko Lain-lain
1000134	lactacyd baby 500ml (biru)	1	0.00	Grosir/Toko Lain-lain
87689090	lasal 4 mg 	10	0.00	Grosir/Toko Lain-lain
545452003321014749	Madu TJ Joybee Strawberry 100ml	1	0.00	Grosir/Toko Lain-lain
4399745	Mamypoko Pants X-Tra Kering Standar M Isi 9	1	0.00	Grosir/Toko Lain-lain
397452127	Mamypoko Pants X-Tra Kering Standar XL Isi 26	1	0.00	Grosir/Toko Lain-lain
44211113345	Marina Hijab Bright Serum 160ml	3	0.00	PT. TEMPO
974132568	Masker Bedah Karet Hijab Biru 3 Ply Isi 50 Pcs Onemed	5	0.00	Grosir/Toko Lain-lain
9080030029302	MEDISIO FARATU 36%	2	0.00	Grosir/Toko Lain-lain
250820252	Minyak Kapak 5 ml	12	10923.00	Grosir/Toko Lain-lain
454651100022454	minyak kayu putih sidola 100ml	1	0.00	Grosir/Toko Lain-lain
90890838290	mom uung asi booster 60 kapsul	1	0.00	Grosir/Toko Lain-lain
55534225771	My Baby Kids Shampoo Conditioner 100ml Pink	1	0.00	Grosir/Toko Lain-lain
101101654002154521	My Baby Kids Toothpaste orange 45 g	1	0.00	Grosir/Toko Lain-lain
8999908432506	My Baby Minyak Telon Plus Long Protection 60 ml	1	0.00	Grosir/Toko Lain-lain
8999908432605	My Baby Minyak Telon Plus Long Protection 90 ml	2	0.00	Grosir/Toko Lain-lain
100000034654312	my baby tisu basah	3	0.00	PT. TEMPO
14777963314	Natur-E 100 IU 32 Kapsul	3	0.00	Grosir/Toko Lain-lain
958327751508	Natur-E White 32 Kapsul	1	0.00	Grosir/Toko Lain-lain
100000154158421	nellco special obh obh sirup 55ml	2	0.00	Grosir/Toko Lain-lain
19122501	Nourish Beauty Care Acne Plast BOY	1	0.00	Grosir/Toko Lain-lain
29112501	OBH Combi Herbal 100 ml	4	0.00	Grosir/Toko Lain-lain
1000140	OBH IKA 100ml syrp	2	0.00	Grosir/Toko Lain-lain
400010	OBH IKA 200ml	1	0.00	Grosir/Toko Lain-lain
877878978	okamoto 003 platinum 3s	2	0.00	Grosir/Toko Lain-lain
6282020	Onemed Plesterin Kids 25 Lembar jerapah	4	0.00	Grosir/Toko Lain-lain
100060	Onemed Syringe 20cc	23	0.00	Grosir/Toko Lain-lain
15012601	Organic Parfum 30 ml	10	0.00	Grosir/Toko Lain-lain
6288292892	pd noxycan adult 	2	0.00	Grosir/Toko Lain-lain
829028279	pd noxycan pediatric	3	0.00	Grosir/Toko Lain-lain
6775433789	Pharmaton Go 6 Kapsul	4	0.00	Grosir/Toko Lain-lain
10000563	pigeon dot botol 50ml standar	1	0.00	Grosir/Toko Lain-lain
1977200920032000	Pigeon PP RP 240 Standard	1	0.00	Grosir/Toko Lain-lain
1112501	Purekids alse belly 60 ml	1	0.00	Grosir/Toko Lain-lain
5656677898	rosuvastatin calcium 20 mg 	2	0.00	Grosir/Toko Lain-lain
30092501	Safe Accu-Check T Pro Uno	1	0.00	Grosir/Toko Lain-lain
31756	Salbutamol Sulfate 4 mg Mulia	7	0.00	Grosir/Toko Lain-lain
100062	scanderma cream 10gr	1	0.00	Grosir/Toko Lain-lain
2009197720002003	Sensodyne 14 gr	5	0.00	Grosir/Toko Lain-lain
91472389	Shen Nong Si Winter Medicated Oil 20 ml	1	0.00	Grosir/Toko Lain-lain
7012601	Stimuno Forte 10 Kapsul	1	0.00	Grosir/Toko Lain-lain
1000118	strepsil original 12s	1	0.00	Grosir/Toko Lain-lain
11092502	Sulfadiazine Silver 35 gram Cr	1	0.00	Grosir/Toko Lain-lain
1000000000215454658	Susu SGM eksplor gain optigrow 1 vanilla 400g	3	0.00	Grosir/Toko Lain-lain
47748044812	Thrombovoren Gel	1	0.00	Grosir/Toko Lain-lain
200286	Ventolin Sirup 100 ml	1	0.00	Stok Awal
100096	ZINCPRO DROP 15ML	1	0.00	Grosir/Toko Lain-lain
